nome,pec,plesso,ordine,indirizzo,dirigente,email,tel,fax,municipio,proprietario,n_biblioteca,n_laboratori,n_refettori,n_aule_attivita_collettive,n_palestre_coperte,n_palestre_scoperte,n_auditorium,n_ambienti_destinati_ad_aule,n_segreteria,n_ambienti_destinati_al_dirigente_scolastico,n_archivio,n_sale_insegnati,n_sale_riunioni,n_cucine,n_servizi_igenici,n_ascensori,n_piani,n_aule_non_utilizzate,n_locali_concessi_a_enti_in_orario_scolastico,n_locali_concessi_a_enti_in_orario_extrascolastico,n_locali_concessi_a_enti_in_orario_entrambi,n_classi_funzionanti_nell_anno,ore_articolate_su_gg,n_ore_a_tempo_normale,n_ore_a_tempo_prolungato,n_ore_a_tempo_pieno,n_ore_serale,n_alunni_refezione,n_alunni_refezione_tempo_pieno,n_alunni_rientro_settimanale,n_alunni_servizio_trasporto,n_alunni_stranieri,n_classi_alunni_stranieri,n_alunni_inadempienti,iscritti_f,iscritti_m,iscritti_tot,frequentanti_f,frequentanti_m,frequentanti_tot,n_docenti,n_bidelli,n_custode,n_mediatori_culturali,matricola_aqp
GARIBALDI (Istituto Comprensivo),BAIC81500D@PEC.ISTRUZIONE.IT,PIEMONTE PRIMARIA 5,Primaria,via E. FIERAMOSCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARIBALDI (Istituto Comprensivo),BAIC81500D@PEC.ISTRUZIONE.IT,R. MORO INFANZIA,Infanzia,VIA RAVANAS 1,SALVEMINI MARIA GEROLAMA,baic81500d@istruzione.it,805793861,/,1,COMUNE,1,1,1,1,1,1,0,1,0,1,0,1,1,0,2,1,1,0,0,0,0,2,5,0,0,1,0,23,23,0,0,4,1,0,11,12,23,11,12,23,4,2,0,0,0
GARIBALDI (Istituto Comprensivo),BAIC81500D@PEC.ISTRUZIONE.IT,R. MORO PRIMARIA,Primaria,VIA RAVANAS 1,SALVEMINI MARIA GEROLAMA,baic81500d@istruzione.it,805793861,/,1,COMUNE,1,1,1,1,1,0,1,0,0,1,0,1,1,0,2,1,1,0,0,0,0,1,5,0,0,1,0,0,17,0,0,6,1,0,11,6,17,11,6,17,6,2,0,0,0
GIOVANNI PAOLO II - DE MARINIS (Istituto Comprensivo),baic845009@pec.istruzione.it,CARMELA CINIGLIO PRIMARIA,Primaria,VIA VALENZANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIOVANNI PAOLO II - DE MARINIS (Istituto Comprensivo),baic845009@pec.istruzione.it,DE MARINIS SEC. 1°,Secondaria I Grado,Via Nicola Colonna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIOVANNI PAOLO II - DE MARINIS (Istituto Comprensivo),baic845009@pec.istruzione.it,DON MARIO DALESIO (Direzione) PRIMARIA,Primaria,VIA FRANCESCO PEPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIOVANNI PAOLO II - DE MARINIS (Istituto Comprensivo),baic845009@pec.istruzione.it,M.TERESA DI CALCUTTA INFANZIA,Infanzia,VIA OSPEDALE DI VENERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIOVANNI PAOLO II - DE MARINIS (Istituto Comprensivo),baic845009@pec.istruzione.it,NICHOLAS GREEN INFANZIA,Infanzia,VIA ARDIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIMALDI - LOMBARDI (Istituto Comprensivo),baic84300n@pec.istruzione.it,BIAGIO GRIMALDI PRIMARIA,Primaria,VIA CACUDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIMALDI - LOMBARDI (Istituto Comprensivo),baic84300n@pec.istruzione.it,BREDA INFANZIA,Infanzia,VIA CACUDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIMALDI - LOMBARDI (Istituto Comprensivo),baic84300n@pec.istruzione.it,LINDGREN EX COMPARTO C,Infanzia,VIA CANDURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIMALDI - LOMBARDI (Istituto Comprensivo),baic84300n@pec.istruzione.it,LOMBARDI (Direzione) SEC. 1°,Secondaria I Grado,VIA LOMBARDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIMALDI - LOMBARDI (Istituto Comprensivo),baic84300n@pec.istruzione.it,LOMBARDI 1 SEZ. PRIMARIA,Primaria,VIA LOMBARDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPIGIA 1 - VERGA (Istituto Comprensivo),BAIC88400X@PEC.ISTRUZIONE.IT,DON ORIONE INFANZIA,Infanzia,V.LE JAPIGIA 140 ,ROSSINI PATRIZIA,baic88400x@istruzione.it,805530943,0805524042 080553746,1,comune di BARI,0,0,1,0,0,0,0,5,0,1,0,0,0,1,4,0,0,1,0,0,0,4,5,0,0,40,0,84,84,0,8,1,1,0,45,51,96,45,51,96,11,2,0,0,205008816
JAPIGIA 1 - VERGA (Istituto Comprensivo),BAIC88400X@PEC.ISTRUZIONE.IT,DON ORIONE PRIMARIA,Primaria,V.LE JAPIGIA 140 ,ROSSINI PATRIZIA,baic88400x@istruzione.it,805530943,0805524042 080553746,1,comune di BARI,1,6,1,0,1,0,1,14,0,1,0,1,0,1,15,0,1,0,0,1,1,13,5,1,0,12,0,239,241,0,39,10,8,0,124,134,258,124,134,258,48,4,1,0,205008816
JAPIGIA 1 - VERGA (Istituto Comprensivo),baic88400x@pec.istruzione.it,G.VERGA SEC. 1°,Secondaria I Grado,VIA P.CARABELLESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPIGIA 1 - VERGA (Istituto Comprensivo),BAIC88400X@PEC.ISTRUZIONE.IT,S.FRANCESCO (Direzione) INFANZIA,Infanzia,VIA PEUCETIA ,ROSSINI PATRIZIA,baic88400x@istruzione.it,805530943,805524042,1,comune di BARI,1,0,1,0,1,1,1,4,3,1,2,0,0,0,4,1,0,0,0,1,1,4,5,0,0,40,0,75,75,0,0,0,0,0,39,46,85,39,46,85,9,1,1,0,0
JAPIGIA 1 - VERGA (Istituto Comprensivo),BAIC88400X@PEC.ISTRUZIONE.IT,S.FRANCESCO (Direzione) PRIMARIA,Primaria,VIA PEUCETIA ,ROSSINI PATRIZIA,baic88400x@istruzione.it,805530943,805524042,1,comune di BARI,1,3,1,1,1,1,1,14,3,1,2,0,0,0,25,1,1,0,0,1,1,14,5,14,0,0,0,0,0,0,28,10,9,0,143,178,321,143,178,321,1,5,1,0,0
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo),baic88600g@pec.istruzione.it,AQUARO INFANZIA,Infanzia,VIA MORELLI E SILVATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo),baic88600g@pec.istruzione.it,ARDITO INFANZIA,Infanzia,VIA MORELLI E SILVATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo),baic88600g@pec.istruzione.it,G. RODARI (Direzione) PRIMARIA,Primaria,VIA ATTILIO CORRUBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo),baic88600g@pec.istruzione.it,LASCITO-RANIERI INFANZIA,Infanzia,VIA CALDAROLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo),baic88600g@pec.istruzione.it,LOMBARDO-RADICE INFANZIA,Infanzia,PARALLELA PROLUNGAMENTO ,Serenella Teresa Varrese,baic88600g@istruzione.it,805583982,0,1,COMUNE DI BARI,0,0,1,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,5,5,25,0,40,0,54,54,0,0,1,1,0,42,40,82,42,40,82,15,2,0,0,M1/050032348/01
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo),baic88600g@pec.istruzione.it,MAMELI PRIMARIA,Primaria,VIA MARTIRI DELLA RESISTENZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo),baic88600g@pec.istruzione.it,PADRE PIO INFANZIA,Infanzia,VIA GUGLIELMO APPULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPIGIA 2 TORRE A MARE (Istituto Comprensivo),baic88600g@pec.istruzione.it,R. L. MONTALCINI (Torre a Mare) SEC. 1°,Secondaria I Grado,L.go Leopardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASSARI - GALILEI (Istituto Comprensivo),baic818001@pec.istruzione.it,MASSARI (Direzione) SEC. 1°,Secondaria I Grado,VIA PETRERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASSARI - GALILEI (Istituto Comprensivo),baic818001@pec.istruzione.it,GALILEI SEC. 1°,Secondaria I Grado,VIA NICOLA DI TULLIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASSARI - GALILEI (Istituto Comprensivo),baic818001@pec.istruzione.it,MONTELLO INFANZIA,Infanzia,VIA DE GEMMIS 13,DECATALDO ALBA,baic818001@istruzione.it,805475815,5617222,2,COMUNE DI BARI,0,0,1,0,1,0,1,6,0,0,0,0,0,0,4,1,1,0,0,0,0,6,5,4,0,2,0,35,35,0,0,6,4,0,51,63,114,51,63,114,14,3,0,0,CONTATORE AQP UGUALE STESSO EDIFICIO
MASSARI - GALILEI (Istituto Comprensivo),baic818001@pec.istruzione.it,MONTELLO PRIMARIA,Primaria,VIA DE GEMMIS 13,DECATALDO ALBA,baic818001@istruzione.it,805475815,5617221,2,COMUNE DI BARI,1,1,1,0,1,0,1,12,0,0,1,0,0,0,11,1,3,0,0,1,0,16,5,13,0,0,0,0,0,0,0,20,13,0,92,119,211,92,119,211,44,2,0,0,SCONOSCIUTO
MASSARI - GALILEI (Istituto Comprensivo),baic818001@pec.istruzione.it,PRIMARIA,Primaria,VIALE SALANDRA 18,DECATALDO ALBA,baic818001@istruzione.it,805566662,805566662,2,COMUNE DI BARI,1,2,1,0,1,0,1,0,1,11,1,1,0,0,22,0,2,0,0,0,0,23,5,14,0,9,0,158,158,0,0,23,12,0,185,205,390,185,205,390,55,5,0,0,SCONOSCIUTO
DE AMICIS - LATERZA - M.S.MICHELE (Istituto Comprensivo),BAIC817005@PEC.ISTRUZIONE.IT,CL. PEDIATRICA c/o Policlinico PRIMARIA,Primaria,PIAZA GIULIO CESARE 11,IAIA MARIA,baic817005@istruzione.it,805016690,8050166690,2,COMUNE DI BARI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,15,1,0,80,79,159,80,79,159,1,0,0,0,0
MASSARI - GALILEI (Istituto Comprensivo),baic818001@pec.istruzione.it,INFANZIA,Infanzia,VIA LEMBO 1/A,DECATALDO ALBA,baic818001@istruzione.it,805566662,805566662,2,COMUNE DI BARI,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,6,5,3,0,3,0,67,67,0,0,4,3,0,61,54,115,61,54,115,11,3,0,0,SCONOSCIUTO
MICHELANGELO (Istituto Comprensivo),BAIC8AE00D@PEC.ISTRUZIONE.IT,S.S.1.G. 'MICHELANGELO',Secondaria I Grado,VIA GENERALE NICOLA STRAZIOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHELANGELO (Istituto Comprensivo),BAIC8AE00D@PEC.ISTRUZIONE.IT,CARRANTE,Primaria,VIA CARRANTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAZZINI - MODUGNO (Istituto Comprensivo),baic847001@pec.istruzione.it,G.MODUGNO SEC. 1°,Secondaria I Grado,VIA FORNARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAZZINI - MODUGNO (Istituto Comprensivo),baic847001@pec.istruzione.it,MAZZINI PRIMARIA,Primaria,VIA SUPPA N. 7,MARIA DENTAMARO,baic847001@istruzione.it,805211367,805211367,1,COMUNE DI BARI,1,2,0,1,1,1,1,28,3,1,1,1,1,0,9,2,4,0,0,1,1,28,5,28,0,0,0,0,0,0,0,63,28,1,254,268,522,254,267,521,60,10,0,0,N3-020024-16 (2016-09)
MAZZINI - MODUGNO (Istituto Comprensivo),baic847001@pec.istruzione.it,PIAZZETTA FRATI CAPPUCCINI INFANZIA,Infanzia,Piazzetta Frati Cappuccini,MARIA DENTAMARO,baic847001@istruzione.it,805211367,805211367,1,COMUNE DI BARI,0,0,2,1,0,1,0,9,0,0,0,0,0,0,4,0,2,0,0,0,0,9,5,4,0,5,0,87,87,0,0,15,9,0,70,74,144,70,74,144,23,5,0,0,N3-020024-16 (2016-09)
UMBERTO 1°-S.NICOLA (Istituto Comprensivo),baic803007@pecistruzione.it,F.CORRIDONI (Direzione) PRIMARIA,Primaria,LARGO SAN SABINO 1,PROF.SSA  ANTONELLA  ACCETTURA  ,baic803007@istruzione.it,080/5214347,5249219,1,COMUNE,1,1,1,0,0,0,1,5,1,1,1,1,1,0,4,0,1,0,0,0,0,5,5,0,0,5,0,74,74,5,0,0,1,0,39,35,74,39,35,74,17,5,1,0,0
UMBERTO 1°-S.NICOLA (Istituto Comprensivo),baic803007@pecistruzione.it,N. PICCINNI PRIMARIA,Primaria,VIA CARDUCCI 10,0,baic803007@istruzione.it,805211803,0,1,COMUNE,0,1,0,0,1,1,0,26,1,0,0,0,0,0,6,0,2,0,1,0,0,26,5,27,0,40,0,23,23,5,0,27,15,0,226,268,494,226,268,494,59,8,0,0,0
UMBERTO 1°-S.NICOLA (Istituto Comprensivo),baic803007@pec.istruzione.it,S. NICOLA,Secondaria I Grado,Largo Urbano II ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZINGARELLI (Istituto Comprensivo),baic81300t@pec.istruzione.it,ANNA FRANK INFANZIA,Infanzia,Via Niceforo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZINGARELLI (Istituto Comprensivo),baic81300t@pec.istruzione.it,ANNA FRANK PRIMARIA,Primaria,Via Niceforo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZINGARELLI (Istituto Comprensivo),baic81300t@pec.istruzione.it,ZINGARELLI (Direzione),Secondaria I Grado,Via Pansini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALESE - 27° Circolo,baee02700t@pec.istruzione.it,COLLODI,Infanzia,V.LE LEONARDO DEL TURCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALESE - 27° Circolo,baee02700t@pec.itruzione.it,D. D'AOSTA,Primaria,VIA DUCA D'AOSTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALESE - 27° Circolo,baee02700t@pec.istruzione.it,MARCO POLO,Primaria,V.LE LEONARDO DEL TURCO,PANEBIANCO ANGELO,baee02700t@istruzione.it,805303329,080/8652412,5,COMUNE DI BARI,0,1,0,0,1,0,1,15,0,0,0,0,0,0,6,1,1,0,0,0,0,15,5,27,0,0,0,0,0,0,47,3,2,0,170,151,321,170,151,321,41,5,0,0,0
PALESE - 27° Circolo,baee02700t@pec.istruzione.it,VIA MACCHIE,Infanzia,VIA MACCHIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE DAVID - 14° Circolo,baee01400q@pec.istruzione.it,DON TONINO BELLO,Infanzia,VIA ULPIANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE DAVID - 14° Circolo,baee01400q@pec.istruzione.it,IQBAL MASIH,Primaria,VIA OMODEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE DAVID - 14° Circolo,baee01400q@pec.istruzione.it,M.GANDHI,Primaria,VIA ULPIANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIRILLO CONV.NAZ. 30° Circolo,bavc010004@pec.istruzione.it,PRIMARIA,Primaria,VIA DOMENICO CIRILLO 33,ESTER GARGANO,bavc010004@istruzione.it,805421855,805421855,2,Comune di Bari,1,1,1,0,1,1,1,15,1,1,1,1,0,1,2,0,2,0,0,0,0,15,3,15,0,0,0,295,0,0,0,3,3,0,146,168,314,146,168,314,21,9,0,0,8523
CIRILLO CONV.NAZ. 30° Circolo,bavc010004@pec.istruzione.it,CIRILLO,Secondaria I Grado,VIA DOMENICO CIRILLO 33,ESTER GARGANO,bavc010004@istruzione.it,805421855,0,2,Comune di Bari,1,3,1,3,1,1,1,13,1,1,1,1,0,1,2,0,2,0,0,0,0,13,5,13,0,0,0,255,0,0,0,5,2,0,144,155,299,144,155,299,21,8,0,0,8523
AMEDEO D'AOSTA,bamm308002@pec.istruzione.it,AMEDEO D'AOSTA,Secondaria I Grado,VIA OBERDAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARDUCCI G.,bamm003008@pec.istruzione.it,CARDUCCI G.,Secondaria I Grado,Via San Francesco d’Assisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GORJUX R.-TRIDENTE-VIVANTE Ist.Istruzione Sec.Superiore,bais03700e@pec.istruzione.it,VIVANTE,Secondaria II Grado,Piazza Armando Diaz n.10,Prof. Donato FERRARA,bais03700e@istruzione.it,080/5540560,080/5540965,1,Città Metropolitana di Bari,1,8,0,0,1,1,0,20,1,1,2,2,0,0,10,1,4,4,0,0,0,16,5,5,3,5,5,0,0,0,0,22,10,0,146,152,298,146,152,298,55,6,0,3,3M200003663
GORJUX R.-TRIDENTE-VIVANTE Ist.Istruzione Sec.Superiore,bais03700e@pec.istruzione.it,GORJUX R.,Secondaria II Grado,Via Raffaele Bovio n.13,Prof. Donato FERRARA,bais03700e@istruzione.it,080/5461463,080/5461506,2,Città Metropolitana di Bari,1,8,0,0,1,3,1,16,3,1,1,1,1,0,14,1,2,1,1,0,0,16,5,5,0,0,0,0,0,0,0,0,0,0,132,175,307,132,175,307,57,7,0,0,M230071
GORJUX R.-TRIDENTE-VIVANTE Ist.Istruzione Sec.Superiore,bais03700e@pec.istruzione.it,TRIDENTE N.,Secondaria II Grado,Viale Papa Giovanni XXIII n.59,Prof. Donato FERRARA,bais03700e@istruzione.it,080/5574381,080/5521551,2,Città Metropolitana di Bari,0,4,0,1,1,0,1,10,1,1,1,1,0,0,8,2,2,4,0,0,0,10,5,5,0,0,0,0,0,0,0,14,7,0,68,113,181,68,113,181,38,4,1,3,44151
G.CESARE - I.I.S.S.,bais06100b@pec.istruzione.it,PRINCIPALE,Secondaria II Grado,VIALE EINAUDI 66,Prof.ssa Giovanna PIACENTE,bais06100b@istruzione.it,805486027,805486034,2,Città Metropolitana,1,9,0,2,1,0,1,33,4,2,2,1,1,0,21,1,3,3,0,0,0,32,5,5,0,0,0,0,0,0,500,18,14,0,393,299,692,385,290,675,77,10,0,0,0
G.CESARE -I.I.S.S.,bais06100b@pec.istruzione.it,SUCCURSALE,Secondaria II Grado,VIA VITERBO 3,Prof.ssa Giovanna PIACENTE,bais06100b@istruzione.it,809909784,809909791,2,Città Metropolitana,0,1,0,1,1,1,1,11,1,1,0,1,1,0,6,1,2,0,0,0,0,9,5,5,0,0,0,0,0,0,130,4,4,0,76,84,160,76,80,156,35,3,0,0,0
PANETTI - PITAGORA I.T.T.,batf230001@pec.istruzione.it,PITAGORA,Secondaria II Grado,Corso Cavour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANETTI - PITAGORA I.T.T.,batf230001@pec.istruzione.it,PANETTI,Secondaria II Grado,VIA RE DAVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEROTTI A. - I.P.S.S.A.R. Ist.Servizi Albergh.e Ristor.,barh01000n@pec.istruzione.it,CENTRALE,Secondaria II Grado,via Niceforo 8,Castellana Leonardo,barh01000n@istruzione.it,805613581,805613581,2,Citta Metropolitana di bari,0,8,0,1,1,1,1,19,4,1,4,1,1,0,19,2,3,0,0,0,0,19,5,5,0,0,5,0,0,0,10,23,19,0,277,343,620,277,343,620,150,9,0,0,non noto
PEROTTI A. - I.P.S.S.A.R. Ist.Servizi Albergh.e Ristor.,barh01000n@pec.istruzione.it,SUCCURSALE,Secondaria II Grado,v ia C. Ulpiani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJORANA E. - I.I.S.S.,BARH11000E@pec.istruzione.it,BARI SAN PAOLO,Secondaria II Grado,VIA S. TRAMONTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJORANA E. - I.I.S.S.,BARH11000E@pec.istruzione.it,SUCCURSALE,Secondaria II Grado,VIA NAZIONALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.DI SAVOIA-CALAMANDREI Ist.Istruzione Sec.Superiore,BAIS04900R@PEC.ISTRUZIONE.IT,CALAMANDREI,Secondaria II Grado,VIA SAN GASPARE DEL BUFALO 1,CARLO DE NITTI,bais04900r@istruzione.it,805035674,080/5650437,4,0,1,4,1,1,1,1,1,21,2,1,1,1,1,1,15,1,2,2,0,0,0,21,5,19,1,1,2,0,0,0,30,5,3,22,145,164,309,145,164,309,78,8,0,0,0
E.DI SAVOIA-CALAMANDREI Ist.Istruzione Sec.Superiore,bais04900r@pec.istruzione.it,E. DI SAVOIA Ist. Tecn.Attiv.Sociali,Secondaria II Grado,VIA CALDAROLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE NITTIS - PASCALI Ist.Istruzione Sec.Superiore,basl06000t@pec.istruzione.it,PINO PASCALI Liceo Art.co Ist. d'Arte,Secondaria II Grado,Corso Vittorio Veneto 14,Santa Ciriello,basl06000t@istruzione.it,080 5793902,080 5793501,1,Città Metropolitana di Bari,1,16,0,0,0,1,1,23,4,1,2,1,0,0,36,1,5,0,0,0,0,36,6,6,0,0,0,0,0,0,13,24,12,12,581,161,742,557,150,707,139,11,0,0,0
DE NITTIS - PASCALI Ist.Istruzione Sec.Superiore,basl06000t@pec.istruzione.it,DE NITTIS Liceo Art.co,Secondaria II Grado,via Timavo 25,Santa Ciriello,basl06000t@istruzione.it,080 5563617,080 5563632,2,F.F. Immobiliare,1,9,0,0,0,1,0,23,2,1,4,1,0,0,37,1,5,0,0,0,0,23,6,6,0,0,0,0,0,0,9,16,11,8,376,131,507,358,123,481,86,9,0,0,0
IP SANTARELLA - DE LILLA,BARI130007@PEC.ISTRUZIONE.IT,SEDE CENTRALE - VIA DI VAGNO,Secondaria II Grado,VIA DI VAGNO 10,MARIA ANNA MANICONE,bari130007@istruzione.it,805531276,0,2,OPERA LAICA,1,11,0,1,1,1,1,20,4,1,1,1,1,0,8,1,2,0,0,0,0,16,5,13,0,0,3,0,0,0,3,19,8,15,224,76,300,224,76,300,58,6,0,0,NON RILEVABILE
IPSIA SANTARELLA - DE LILLA,BARI130007@PEC.ISTRUZIONE.IT,SEDE SUCCURSALE - VIA CELSO ULPIANI,Secondaria II Grado,VIA CELSO ULPIANI 8,MARIA ANNA MANICONE,bari130007@istruzione.it,805421268,805569417,2,CITTA' METROPOLITANA BARI,1,6,0,1,1,0,0,25,1,1,0,1,1,0,12,0,1,0,0,0,0,25,5,22,0,0,3,0,0,0,11,22,13,15,495,64,559,495,64,559,96,6,0,0,M200081992-07
I.T. EUCLIDE-CARACCIOLO,bath040009@pec.istruzione.it,SECONDO PLESSO ' CARACCIOLO',Secondaria II Grado,VIA CALDAROLA (POLIV.),PROF.SSA DE GIGLIO GIOVANNA,bath040009@istruzione.it,080/5548802,080/5522033,1,CITTA' METROPOLITANA DI BARI,1,9,0,1,0,0,0,17,0,1,1,1,1,0,9,2,3,1,0,0,0,17,5,5,0,0,0,0,0,0,304,6,6,0,48,256,304,48,256,304,52,4,0,0,c/o ISTITUTO 'LENOCI' BARI
I.T. EUCLIDE-CARACCIOLO,bath040009@pec.istruzione.it,'EUCLIDE'  SEDE CENTRALE,Secondaria II Grado,VIA PREZZOLINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCRATE - Liceo Classico,bapc150004@pec.istruzione.it,SOCRATE,Secondaria II Grado,via San Tommaso d'Aquino n. 4 - 70124 Bari,Chiara d'Aloja,bapc150004@istruzione.it,805043941,5043941,2,Città Meropolitana,1,5,0,7,1,1,1,26,3,1,2,1,1,0,35,2,4,0,0,1,0,24,6,6,0,0,0,0,0,0,163,2,20,0,388,170,558,388,170,558,47,9,0,0,0
SOCRATE - Liceo Classico,bapc150004@pec.istruzione.it,SOCRATE (SUCCURSALE),Secondaria II Grado,Via Papa Giovanni XXIII N.55 - 70124  BARI,Chiara d'Aloja,bapc150004@istruzione.it,080 0994662,080 0994662,2,Città Metropolitana di Bari,0,2,0,0,1,0,0,13,0,1,0,1,1,0,16,0,2,2,0,1,0,13,6,6,0,0,0,0,0,0,70,3,3,0,174,70,244,174,70,244,34,5,0,0,0
C.P.I.A.,bamm29700r@pec.istruzione.it,MELO DA BARI,Secondaria I Grado,VIA MAGGIORE TURITTO 13,REDAVID LAURA,bamm29700r@istruzione.it,808644003,0,1,COMUNE DI BARI,0,1,0,2,1,0,0,7,1,0,1,1,0,0,6,1,2,0,0,0,0,23,5,0,0,0,5,0,0,0,0,703,23,0,196,507,703,196,507,703,9,2,0,0,0
C.P.I.A.,bamm29700r@pec.istruzione.it,SAN NICOLA,Secondaria I Grado,LARGO URBANO II,REDAVID LAURA,bamm29700r@istruzione.it,809184970,0,1,COMUNE DI BARI,0,2,0,0,0,0,0,4,1,1,2,1,0,0,3,0,1,0,0,0,0,5,5,0,0,0,5,0,0,0,0,342,12,0,140,202,342,140,202,342,6,2,2,2,0
C.P.I.A.,bamm29700r@pec.istruzione.it,VERGA,Secondaria I Grado,VIA P. CARABELLESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.P.I.A.,bamm29700r@pec.istruzione.it,CASA CIRCONDARIALE,Secondaria I Grado,CORSO DE GASPERI 307,REDAVID LAURA,bamm29700r@istruzione.it,805024155,0,2,Ministero della Giustizia,3,1,0,1,0,0,0,6,0,0,1,0,0,0,3,0,0,0,0,0,0,6,5,5,0,0,0,0,0,0,0,23,3,0,0,45,45,0,45,45,7,0,0,0,0
